NAME, PURPOSE (should be a verb phrase to sound right while installing)
arandr,"is a visual front end for XRANDR"
arc-theme,"is a GTK theme"
autoconf,"is required for the compilation of some programs."
automake,"is required for the compilation of some programs."
cmake,"is required for the compilation of some programs."
compton,"is a compositor for X11 (assure smooth transition)"
curl,"is a command-line tool to transfer data"
dunst,"is a notification daemon"
feh,"is a simple image viewer"
fonts-font-awesome,"is a glyph font"
gimp,"is an image manipulation and paint program"
inotify-tools,"is required for phoenix"
jq,"is a cmd line JSON processor "
lxappearance,"GTK+ theme switcher"
macchanger,"is a tool to change MAC address"
neofetch,"is a command-line system information tool"
neovim,"is a hyperextensible Vim-based text editor"
pandoc,"is a general markup converter"
papirus-icon-theme,"is an icon pack"
redshift,"is a color temperature according to time of day"
rofi,"dmenu like"
scrot,"is used to capture screenshot"
suckless-tools,"used to install demenu"
texlive-base,"latex pkg"
texlive-fonts-extra,"latex pkg"
texlive-fonts-recommended,"latex pkg"
texlive-latex-recommended,"latex pkg"
tmux,"terminal multiplexer"
unclutter,"remove cursor when afk"
xsel,"clipboard utility"
yadm,"is a dotfile manager"
zsh,"is the Z shell"
zsh-syntax-highlighting,"is a syntax highlighting like fish"
cmake-data,"is required for the compilation of some programs."
i3-wm,"is required for the compilation of some programs."
libasound2-dev,"is required for the compilation of some programs."
libcairo2-dev,"is required for the compilation of some programs."
libclang-dev,"is required for the compilation of bat."
libcurl4-openssl-dev,"is required for the compilation of some programs."
libev-dev,"is required for the compilation of some programs."
libiw-dev,"is required for the compilation of some programs."
liblz4-dev,"is required for the compilation of some programs."
libmpdclient-dev,"is required for the compilation of some programs."
libpam0g-dev,"is required for the compilation of some programs."
libpango1.0-dev,"is required for the compilation of some programs."
libpulse-dev,"is required for the compilation of some programs."
libstartup-notification0-dev,"is required for the compilation of some programs."
libxcb-composite0-dev,"is required for the compilation of some programs."
libxcb-ewmh-dev,"is required for the compilation of some programs."
libxcb-ewmh2,"is required for the compilation of some programs."
libxcb-icccm4-dev,"is required for the compilation of some programs."
libxcb-image0-dev,"is required for the compilation of somme programs."
libxcb-keysyms1-dev,"is required for the compilation of some programs."
libxcb-randr0-dev,"is required for the compilation of some programs."
libxcb-shape0-dev,"is required for the compilation of some programs."
libxcb-util0-dev,"is required for the compilation of some programs."
libxcb-xinerama0-dev,"is required for the compilation of some programs."
libxcb-xkb-dev,"is required for the compilation of some programs."
libxcb-xrm-dev,"is required for the compilation of some programs."
libxcb-xrm0,"is required for the compilation of some programs."
libxcb1-dev,"is required for the compilation of some programs."
libxkbcommon-dev,"is required for the compilation of some programs."
libxkbcommon-x11-dev,"is required for the compilation of some programs."
libyajl-dev,"is required for the compilation of some programs."
nibxcb-icccm4-dev,"is required for the compilation of some programs."
pkg-config,"is required for the compilation of some programs."
python-xcbgen,"is required for the compilation of some programs."
xcb,"is required for the compilation of some programs."
xcb-proto,"is required for the compilation of some programs."
